iter	RMSE
0	0.3916685289
1	0.3841732003
2	0.3765156352
3	0.3698296673
4	0.3621970669
5	0.3554490453
6	0.3491836932
7	0.3428366522
8	0.3365312165
9	0.3308198174
10	0.3247058968
11	0.3189137663
12	0.3128872738
13	0.3073111689
14	0.3016736646
15	0.2964934441
16	0.2914085272
17	0.2866987474
18	0.281827725
19	0.2776097338
20	0.2730333655
21	0.2684841032
22	0.2641580837
23	0.2605296763
24	0.2565227901
25	0.2526505001
26	0.2489580078
27	0.24531195
28	0.2415143864
29	0.2380926067
30	0.2347280259
31	0.2312946584
32	0.2279026674
33	0.2249699037
34	0.2219365034
35	0.2189534799
36	0.2161076351
37	0.2133871523
38	0.2108761923
39	0.2084211389
40	0.2059185675
41	0.2035666781
42	0.201091155
43	0.1988258796
44	0.1966255852
45	0.1944074961
46	0.1921996939
47	0.1902196985
48	0.1881539636
49	0.1861302806
50	0.1840737208
51	0.1821991389
52	0.1805700073
53	0.1788214352
54	0.1771160194
55	0.1753537829
56	0.1738300092
57	0.1724172543
58	0.1709837103
59	0.1696040824
60	0.1681787551
61	0.1668114881
62	0.1654742357
63	0.1642299409
64	0.1631280866
65	0.1620194113
66	0.1610113377
67	0.1597769007
68	0.1588139296
69	0.1579213363
70	0.1569043018
71	0.1559325615
72	0.1549573489
73	0.1540934394
74	0.1533025912
75	0.1524643074
76	0.1516150445
77	0.1507155727
78	0.1499086921
79	0.1490765086
80	0.1482137109
81	0.1474331731
82	0.1466804393
83	0.146055377
84	0.1453626519
85	0.1446672615
86	0.1440018271
87	0.1433591091
88	0.1427190107
89	0.1421388323
90	0.141574405
91	0.1410071098
92	0.1405001296
93	0.1399185532
94	0.1392116512
95	0.1385504651
96	0.1380984574
97	0.1376240356
98	0.1371082196
99	0.1363573022
100	0.1357925944
101	0.1352901211
102	0.1347806381
103	0.134335493
104	0.1338326108
105	0.1334217779
106	0.1330315578
107	0.1325211346
108	0.1321026026
109	0.131678287
110	0.1311906904
111	0.1307708586
112	0.1303962464
113	0.129983061
114	0.1296267818
115	0.1290916007
116	0.1286371951
117	0.1282542573
118	0.1278704461
119	0.1274931919
120	0.1271733957
121	0.1268533031
122	0.1263170842
123	0.1260135169
124	0.1256284206
125	0.1251795052
126	0.1248337929
127	0.1244225145
128	0.1239975788
129	0.1236817135
130	0.1234000908
131	0.1230895188
132	0.1227769767
133	0.1224608331
134	0.1221060475
135	0.1217887039
136	0.1214643767
137	0.1212055106
138	0.1208862087
139	0.1206803071
140	0.1203986855
141	0.1201460311
142	0.1198625581
143	0.119604649
144	0.119386218
145	0.1191201929
146	0.118848499
147	0.1186680868
148	0.1186642586
149	0.1183267728
150	0.1181394634
151	0.1179993826
152	0.1177017538
153	0.1174171124
154	0.1171895745
155	0.1170039805
156	0.1168561139
157	0.1166159383
158	0.1163566422
159	0.1162407142
160	0.1162097539
161	0.1160520925
162	0.115797674
163	0.1155988232
164	0.1153490472
165	0.1151392061
166	0.1148916973
167	0.1146709546
168	0.1144835453
169	0.1142734263
170	0.1140654714
171	0.1139213338
172	0.1138237931
173	0.1136130736
174	0.1134537644
175	0.1132151319
176	0.1132116751
177	0.1131370219
178	0.1129911041
179	0.1128199515
180	0.1125851284
181	0.1123456174
182	0.1121655691
183	0.1119534574
184	0.111938801
185	0.111760454
186	0.1116124851
187	0.111474254
188	0.1114331177
189	0.1112290562
190	0.1110789685
191	0.1109002135
192	0.1106668551
193	0.1106648943
194	0.1104891564
195	0.1102961197
196	0.110101821
197	0.1099743027
198	0.1098593093
199	0.1096915622
200	0.1095312749
201	0.1093345723
202	0.1091040021
203	0.1089614349
204	0.1088446365
205	0.1088213011
206	0.1085758054
207	0.1084376279
208	0.1084224541
209	0.1082776347
210	0.1082529081
211	0.1081487115
212	0.1079586378
213	0.1077780172
214	0.1077243645
215	0.1075823281
216	0.1074090984
217	0.1073427364
218	0.1073175082
219	0.1071913208
220	0.1070378204
221	0.1069419822
222	0.1068057064
223	0.1066960044
224	0.1066897899
225	0.1065839994
226	0.1064305002
227	0.1062552738
228	0.1059926233
229	0.1059122287
230	0.1059091976
231	0.1057329249
232	0.1055909379
233	0.1055208004
234	0.1053510404
235	0.1052984648
236	0.1051731853
237	0.1050320891
238	0.1050005664
239	0.1048673951
240	0.1047833845
241	0.1045989729
242	0.1043809839
243	0.1042885054
244	0.1041785029
245	0.1039795121
246	0.1038178991
247	0.1036812895
248	0.1036787159
249	0.1036705433
250	0.1035976424
251	0.1034991307
252	0.1034926774
253	0.1034711462
254	0.1033319905
255	0.1033257681
256	0.1033061069
257	0.1032830394
258	0.1032713501
259	0.1031877853
260	0.1031811009
261	0.1030520037
262	0.1030277206
263	0.1030104139
264	0.1030088729
265	0.1029118432
266	0.1027462417
267	0.1026700579
268	0.1025912922
269	0.1025715486
270	0.1024588716
271	0.1023752082
272	0.1022797177
273	0.1022436223
274	0.1021425027
275	0.1020482564
276	0.1017836738
277	0.101771009
278	0.1015528689
279	0.1015515139
280	0.1015366747
281	0.1015162826
282	0.1015139713
283	0.1015031858
284	0.1013797019
285	0.1012612896
286	0.1011411264
287	0.1011351748
288	0.1010319036
289	0.1010268386
290	0.1009647788
291	0.1009025908
292	0.1008991856
293	0.1008872054
294	0.1008777435
295	0.1008649332
296	0.1007475153
297	0.1006624424
298	0.1005773286
299	0.1005075964
300	0.1004985584
301	0.100489512
302	0.1003378218
303	0.100205227
304	0.1001990085
305	0.1001196201
306	0.1000089886
307	0.0998639616
308	0.09977703011
309	0.09967469646
310	0.09967149565
311	0.09965663047
312	0.09964192826
313	0.09952129555
314	0.09951491421
315	0.09943603045
316	0.0992561707
317	0.09918118935
318	0.09909841437
319	0.09890820834
320	0.09889158886
321	0.09875318693
322	0.09861437307
323	0.09852012844
324	0.09836104176
325	0.09831342358
326	0.09829764091
327	0.09815017158
328	0.09814728186
329	0.09802012652
330	0.09794483418
331	0.09793547416
332	0.09790088082
333	0.09776437801
334	0.09760129373
335	0.09749310997
336	0.09747137241
337	0.09734528375
338	0.09725649988
339	0.09724933104
340	0.09713901175
341	0.09706776407
342	0.09703139404
343	0.09697042034
344	0.09691638419
345	0.09678424076
346	0.09663146509
347	0.09662448109
348	0.09650573557
349	0.096443737
350	0.09643543892
351	0.09642876269
352	0.09632752394
353	0.09629810513
354	0.09620281881
355	0.09616042545
356	0.09612926257
357	0.09612067179
358	0.09605679534
359	0.09592441702
360	0.09581406383
361	0.09564386828
362	0.09563211327
363	0.09555255502
364	0.09554641337
365	0.09553516944
366	0.0955275197
367	0.09551202731
368	0.09550620799
369	0.09549798425
370	0.09535267013
371	0.09534374072
372	0.09528236516
373	0.09527938844
374	0.09515033863
375	0.09512257908
376	0.09499180204
377	0.09498616842
378	0.09485725861
379	0.09484824881
380	0.09484275169
381	0.09473663941
382	0.09462559779
383	0.09461525491
384	0.094520599
385	0.09447348272
386	0.09441767714
387	0.0943742223
388	0.09422688481
389	0.09422159268
390	0.09413252123
391	0.09412490749
392	0.09404747834
393	0.09399590254
394	0.0939436236
395	0.09392989536
396	0.0938454438
397	0.0937209251
398	0.09370695331
399	0.09357043927
400	0.09355687488
401	0.09346090392
402	0.09342858101
403	0.09342457981
404	0.09335458797
405	0.09334159668
406	0.09322941036
407	0.09321827443
408	0.0931952832
409	0.09308289336
410	0.09307513928
411	0.09298577827
412	0.09297915939
413	0.09296708082
414	0.09296087164
415	0.09293072634
416	0.09284567979
417	0.09280925045
418	0.09273419118
419	0.09258291472
420	0.09257791866
421	0.09255315941
422	0.09248048238
423	0.09247387478
424	0.09238878235
425	0.09238039645
426	0.09236959162
427	0.0923650425
428	0.09223904549
429	0.09220166324
430	0.09208276843
431	0.09200212866
432	0.0919497132
433	0.09194550844
434	0.09188659375
435	0.09178375381
436	0.09177858383
437	0.0916898641
438	0.09162780112
439	0.0915997256
440	0.09157658472
441	0.09157234458
442	0.09148521127
443	0.09146208331
444	0.09145412113
445	0.09144998817
446	0.091403087
447	0.09140066906
448	0.09133318906
449	0.09125419245
450	0.09125018667
451	0.09115462152
452	0.09115074691
453	0.09112397738
454	0.0910885444
455	0.09108477756
456	0.09097399681
457	0.09086553839
458	0.0908295434
459	0.09073162674
460	0.09059101351
461	0.09058727071
462	0.09058017967
463	0.09052091025
464	0.09049516161
465	0.09041383331
466	0.09041019549
467	0.090353766
468	0.0903006016
469	0.09029289612
470	0.09022727838
471	0.09015050842
472	0.09014839812
473	0.09004871795
474	0.08998487364
475	0.08998283569
476	0.08995063799
477	0.08991724781
478	0.08990856536
479	0.08988015586
480	0.08976197168
481	0.08968124203
482	0.08967780766
483	0.08966965008
484	0.08960785189
485	0.08958715984
486	0.08958012531
487	0.08955943357
488	0.08954466314
489	0.08953103143
490	0.08951654977
491	0.08951323511
492	0.08950311526
493	0.08949990093
494	0.08941875053
495	0.08941559956
496	0.08929081688
497	0.0892889791
498	0.08928591175
499	0.08919546563
500	0.08918012283
501	0.08917270809
502	0.08915556482
503	0.08901455539
504	0.08901080332
505	0.08896918857
506	0.08889773556
507	0.08883966945
508	0.08882755607
509	0.08881394556
510	0.08871627861
511	0.08870903711
512	0.08865971728
513	0.08856120739
514	0.08855854073
515	0.08846201346
516	0.08837720462
517	0.08832397095
518	0.08827054101
519	0.08817366096
520	0.08816651353
521	0.08816374383
522	0.08803109486
523	0.08791618889
524	0.08789458582
525	0.08784768371
526	0.08774790267
527	0.08765879022
528	0.08763164257
529	0.08756629018
530	0.08750266477
531	0.08744343405
532	0.08732990885
533	0.08732570646
534	0.08723027695
535	0.0871830221
536	0.0871026967
537	0.08700916494
538	0.08693459818
539	0.08693114113
540	0.08692829424
541	0.08692037743
542	0.08684900557
543	0.08677588436
544	0.08666966561
545	0.08654653028
546	0.08645139587
547	0.08643633599
548	0.08641922548
549	0.08638286062
550	0.08637410584
551	0.08628033374
552	0.08615717284
553	0.08609257569
554	0.08606490784
555	0.08594806483
556	0.08594111181
557	0.08586522906
558	0.08583312414
559	0.08578209562
560	0.0857114771
561	0.08569689132
562	0.08560634198
563	0.08558886957
564	0.08549136446
565	0.08546768137
566	0.08533573488
567	0.08532390263
568	0.0852908187
569	0.08527841977
570	0.08527169399
571	0.08526885883
572	0.08526755644
573	0.08522576448
574	0.08517547087
575	0.08517302282
576	0.085167723
577	0.08510453967
578	0.08503640837
579	0.08498438643
580	0.08497749403
581	0.08497678746
582	0.08497447872
583	0.08497152756
584	0.08492310331
585	0.08484328029
586	0.08471321912
587	0.08465657135
588	0.08452388267
589	0.08446876636
590	0.08446673803
591	0.08445808324
592	0.08444709465
593	0.0844001915
594	0.08439744057
595	0.08438409771
596	0.08437485474
597	0.08425907324
598	0.08417634688
599	0.08410541173
600	0.08409850343
601	0.08408131625
602	0.08405731037
603	0.08399657781
604	0.08395089152
605	0.08394845842
606	0.08394741557
607	0.08387699342
608	0.08386583039
609	0.08386347235
610	0.08385297918
611	0.08384684232
612	0.08383474129
613	0.08374807711
614	0.08374018009
615	0.08373741996
616	0.08370020153
617	0.08364473421
618	0.08363394098
619	0.08363206848
620	0.0836040186
621	0.08356925644
622	0.08348046484
623	0.08347118715
624	0.08338593427
625	0.08328802432
626	0.08328328981
627	0.08322857646
628	0.08318473593
629	0.08310916991
630	0.0830039494
631	0.08292270926
632	0.08281988842
633	0.08278762881
634	0.08278425809
635	0.08274392749
636	0.08272881932
637	0.0827080961
638	0.08269004891
639	0.08261461186
640	0.08255202464
641	0.08253676815
642	0.08253066213
643	0.08252351792
644	0.08241348517
645	0.08239730615
646	0.08239233176
647	0.08228914487
648	0.08218270639
649	0.08212148833
650	0.08210195317
651	0.0820932658
652	0.08208979633
653	0.08201903607
654	0.081988109
655	0.0819730394
656	0.08190146784
657	0.08189283001
658	0.08188638512
659	0.08185858936
660	0.08176201912
661	0.081750512
662	0.08169110382
663	0.0815865642
664	0.08157296007
665	0.08153172881
666	0.08148123343
667	0.08134863443
668	0.08133538893
669	0.08133308115
670	0.0812654603
671	0.08121307225
672	0.08110870166
673	0.08108934015
674	0.08104497873
675	0.08096754226
676	0.08091938576
677	0.08091691165
678	0.08083510099
679	0.08082027078
680	0.08081095556
681	0.08080938138
682	0.0808058674
683	0.08080063245
684	0.08073027603
685	0.0806966497
686	0.08064936399
687	0.08059727662
688	0.08055162885
689	0.08054448201
690	0.08048774173
691	0.0804423775
692	0.0804298403
693	0.0804291853
694	0.08040513739
695	0.08039417263
696	0.0803115248
697	0.08025577641
698	0.08019225256
699	0.08017889361
700	0.08014517208
701	0.08013002222
702	0.08006339642
703	0.08002105583
704	0.0799921755
705	0.07994166954
706	0.07988995711
707	0.07983503718
708	0.0797631078
709	0.0796712447
710	0.07966236348
711	0.0796342547
712	0.07956256471
713	0.07947994934
714	0.07939659704
715	0.07931378104
716	0.07929736852
717	0.0792783674
718	0.07927242655
719	0.07919994498
720	0.07915926215
721	0.07910311043
722	0.07902831789
723	0.07897877146
724	0.07890593073
725	0.07888690824
726	0.07887408449
727	0.07885890007
728	0.07884791347
729	0.07881900933
730	0.07877422118
731	0.07871147976
732	0.07861558449
733	0.0785788124
734	0.07850792378
735	0.07848123796
736	0.07840278899
737	0.07838504695
738	0.07836518022
739	0.07834412949
740	0.07834371869
741	0.07833105669
742	0.07823760479
743	0.07822534274
744	0.07821404028
745	0.07816657951
746	0.07815109786
747	0.07810239956
748	0.07805960009
749	0.07805217524
750	0.07804530947
751	0.07794967828
752	0.07787831666
753	0.0778011546
754	0.07771891364
755	0.07770451912
756	0.07769651317
757	0.07763742972
758	0.07758956788
759	0.07756013897
