iter	Passed	Remaining
0	10	31492
1	15	23598
2	22	22446
3	28	21411
4	34	20591
5	39	19747
6	45	19423
7	51	19419
8	58	19441
9	65	19573
10	71	19446
11	78	19667
12	85	19665
13	91	19452
14	96	19284
15	102	19065
16	107	18892
17	113	18879
18	120	18862
19	126	18816
20	132	18728
21	138	18791
22	147	19043
23	153	19010
24	160	19121
25	166	19068
26	172	18975
27	178	18906
28	185	18953
29	191	18924
30	197	18890
31	203	18873
32	210	18928
33	216	18921
34	223	18951
35	230	18981
36	236	18928
37	244	19070
38	251	19094
39	257	19037
40	263	18991
41	270	19043
42	277	19060
43	282	18976
44	289	18987
45	296	19010
46	302	18987
47	309	19030
48	314	18965
49	320	18921
50	327	18919
51	332	18866
52	339	18853
53	345	18826
54	354	18992
55	361	18987
56	367	18952
57	374	19019
58	383	19107
59	398	19514
60	412	19867
61	421	19992
62	428	19984
63	434	19922
64	440	19896
65	447	19907
66	454	19876
67	459	19816
68	466	19832
69	473	19805
70	480	19803
71	486	19803
72	492	19743
73	497	19685
74	506	19747
75	512	19699
76	518	19685
77	524	19655
78	530	19613
79	536	19570
80	542	19544
81	548	19531
82	555	19511
83	562	19509
84	569	19520
85	575	19506
86	581	19475
87	588	19462
88	593	19400
89	598	19354
90	604	19339
91	612	19353
92	617	19296
93	622	19256
94	629	19248
95	635	19238
96	642	19226
97	649	19227
98	656	19243
99	663	19236
100	669	19215
101	676	19217
102	682	19200
103	688	19176
104	694	19158
105	701	19161
106	708	19149
107	715	19149
108	721	19123
109	726	19097
110	732	19067
111	739	19057
112	745	19040
113	750	19006
114	755	18960
115	762	18962
116	768	18938
117	774	18917
118	780	18907
119	787	18889
120	793	18870
121	799	18855
122	806	18853
123	811	18832
124	817	18811
125	822	18768
126	828	18750
127	836	18762
128	844	18785
129	849	18765
130	856	18768
131	863	18758
132	870	18759
133	877	18763
134	883	18760
135	891	18775
136	897	18761
137	902	18726
138	909	18729
139	916	18722
140	923	18718
141	930	18723
142	936	18702
143	942	18684
144	947	18654
145	954	18667
146	962	18679
147	968	18666
148	971	18595
149	977	18565
150	983	18558
151	990	18559
152	996	18550
153	1004	18557
154	1009	18528
155	1016	18528
156	1023	18527
157	1029	18520
158	1036	18518
159	1044	18541
160	1050	18524
161	1056	18500
162	1063	18506
163	1069	18496
164	1076	18494
165	1082	18484
166	1088	18466
167	1094	18446
168	1101	18447
169	1107	18429
170	1113	18413
171	1119	18402
172	1125	18388
173	1132	18398
174	1139	18398
175	1145	18374
176	1148	18311
177	1153	18290
178	1159	18277
179	1166	18278
180	1174	18297
181	1181	18286
182	1186	18271
183	1192	18255
184	1199	18246
185	1205	18241
186	1211	18228
187	1217	18214
188	1224	18206
189	1229	18187
190	1235	18165
191	1240	18138
192	1246	18122
193	1247	18049
194	1253	18034
195	1259	18018
196	1266	18015
197	1271	17997
198	1276	17971
199	1282	17959
200	1288	17947
201	1295	17941
202	1301	17937
203	1306	17911
204	1312	17898
205	1316	17852
206	1322	17844
207	1329	17849
208	1336	17847
209	1342	17834
210	1349	17834
211	1356	17841
212	1364	17847
213	1370	17842
214	1378	17850
215	1384	17841
216	1389	17825
217	1393	17777
218	1399	17776
219	1406	17777
220	1413	17772
221	1419	17760
222	1424	17743
223	1431	17734
224	1437	17723
225	1443	17713
226	1449	17710
227	1456	17713
228	1464	17718
229	1471	17723
230	1477	17709
231	1484	17708
232	1490	17706
233	1496	17694
234	1503	17693
235	1511	17699
236	1516	17683
237	1523	17685
238	1531	17692
239	1537	17682
240	1544	17676
241	1550	17674
242	1557	17667
243	1564	17670
244	1571	17672
245	1578	17670
246	1584	17664
247	1590	17645
248	1593	17609
249	1600	17610
250	1607	17604
251	1613	17600
252	1621	17602
253	1627	17597
254	1635	17600
255	1641	17595
256	1647	17583
257	1654	17587
258	1661	17586
259	1668	17579
260	1674	17567
261	1680	17566
262	1687	17559
263	1693	17550
264	1697	17519
265	1703	17513
266	1710	17510
267	1716	17500
268	1723	17494
269	1730	17497
270	1736	17487
271	1742	17478
272	1749	17475
273	1757	17481
274	1766	17501
275	1774	17513
276	1783	17531
277	1789	17523
278	1796	17516
279	1800	17488
280	1807	17486
281	1813	17478
282	1819	17472
283	1826	17465
284	1833	17464
285	1839	17456
286	1845	17448
287	1852	17442
288	1858	17437
289	1865	17430
290	1872	17427
291	1877	17412
292	1883	17404
293	1890	17398
294	1896	17394
295	1903	17393
296	1910	17387
297	1917	17382
298	1922	17366
299	1928	17359
300	1935	17357
301	1942	17352
302	1949	17349
303	1956	17348
304	1964	17356
305	1971	17357
306	1977	17348
307	1982	17330
308	1990	17330
309	1996	17328
310	2004	17330
311	2011	17327
312	2017	17319
313	2023	17309
314	2030	17309
315	2037	17302
316	2043	17292
317	2049	17281
318	2054	17270
319	2062	17273
320	2068	17259
321	2074	17254
322	2080	17246
323	2086	17232
324	2092	17222
325	2099	17224
326	2106	17218
327	2112	17209
328	2118	17200
329	2123	17182
330	2129	17174
331	2136	17171
332	2143	17163
333	2149	17158
334	2156	17153
335	2162	17147
336	2169	17142
337	2176	17144
338	2183	17135
339	2189	17131
340	2196	17129
341	2202	17120
342	2209	17119
343	2215	17108
344	2221	17095
345	2227	17088
346	2233	17075
347	2239	17069
348	2245	17058
349	2250	17037
350	2256	17031
351	2263	17030
352	2270	17023
353	2276	17012
354	2283	17013
355	2288	16999
356	2295	16996
357	2304	17003
358	2310	16994
359	2316	16987
360	2323	16982
361	2330	16979
362	2336	16975
363	2343	16967
364	2349	16961
365	2356	16962
366	2363	16956
367	2369	16948
368	2376	16941
369	2383	16941
370	2390	16937
371	2396	16932
372	2403	16924
373	2409	16915
374	2416	16914
375	2424	16920
376	2430	16907
377	2437	16905
378	2443	16900
379	2449	16885
380	2458	16896
381	2464	16886
382	2469	16876
383	2477	16875
384	2482	16863
385	2489	16857
386	2495	16848
387	2501	16841
388	2507	16832
389	2514	16827
390	2520	16817
391	2527	16818
392	2534	16810
393	2540	16801
394	2546	16793
395	2552	16784
396	2558	16777
397	2564	16763
398	2570	16758
399	2577	16751
400	2583	16741
401	2591	16745
402	2596	16732
403	2601	16717
404	2607	16706
405	2612	16694
406	2619	16689
407	2626	16683
408	2632	16675
409	2638	16666
410	2645	16666
411	2652	16659
412	2658	16655
413	2665	16652
414	2674	16657
415	2680	16651
416	2688	16654
417	2694	16646
418	2701	16640
419	2707	16634
420	2714	16627
421	2721	16622
422	2727	16616
423	2734	16611
424	2739	16599
425	2743	16578
426	2750	16572
427	2756	16567
428	2763	16560
429	2770	16556
430	2776	16549
431	2782	16539
432	2789	16534
433	2792	16508
434	2798	16501
435	2805	16495
436	2812	16495
437	2820	16497
438	2826	16490
439	2833	16486
440	2840	16483
441	2847	16479
442	2854	16476
443	2860	16468
444	2866	16457
445	2873	16455
446	2880	16454
447	2884	16431
448	2890	16421
449	2896	16413
450	2904	16413
451	2909	16403
452	2916	16395
453	2922	16389
454	2929	16384
455	2935	16375
456	2941	16369
457	2947	16361
458	2953	16352
459	2960	16348
460	2968	16350
461	2975	16343
462	2982	16340
463	2988	16333
464	2995	16328
465	3001	16323
466	3007	16314
467	3013	16305
468	3020	16301
469	3027	16297
470	3034	16292
471	3041	16290
472	3045	16272
473	3051	16261
474	3057	16253
475	3062	16241
476	3068	16232
477	3076	16230
478	3082	16224
479	3089	16221
480	3095	16210
481	3102	16208
482	3109	16203
483	3117	16205
484	3125	16205
485	3132	16201
486	3140	16206
487	3146	16198
488	3153	16192
489	3158	16180
490	3165	16176
491	3172	16173
492	3180	16171
493	3187	16171
494	3193	16162
495	3199	16154
496	3206	16150
497	3210	16127
498	3216	16120
499	3221	16108
500	3228	16101
501	3231	16080
502	3237	16074
503	3244	16067
504	3251	16063
505	3258	16060
506	3265	16054
507	3271	16046
508	3277	16040
509	3283	16031
510	3291	16031
511	3298	16026
512	3304	16021
513	3311	16015
514	3317	16009
515	3323	15999
516	3329	15990
517	3336	15985
518	3342	15977
519	3349	15975
520	3353	15958
521	3359	15948
522	3365	15941
523	3371	15931
524	3379	15930
525	3386	15927
526	3392	15920
527	3399	15915
528	3405	15909
529	3412	15902
530	3418	15894
531	3423	15881
532	3428	15870
533	3435	15865
534	3441	15856
535	3447	15847
536	3454	15843
537	3460	15834
538	3466	15828
539	3473	15823
540	3479	15816
541	3487	15814
542	3493	15806
543	3499	15797
544	3506	15793
545	3514	15794
546	3521	15793
547	3527	15785
548	3534	15777
549	3540	15769
550	3545	15760
551	3552	15752
552	3559	15750
553	3566	15746
554	3573	15741
555	3580	15739
556	3586	15731
557	3594	15730
558	3600	15723
559	3607	15717
560	3613	15710
561	3619	15702
562	3624	15689
563	3631	15684
564	3637	15677
565	3645	15677
566	3652	15674
567	3660	15671
568	3665	15661
569	3671	15654
570	3678	15648
571	3685	15644
572	3692	15639
573	3699	15636
574	3706	15631
575	3712	15623
576	3718	15614
577	3725	15609
578	3731	15603
579	3738	15597
580	3744	15590
581	3751	15587
582	3758	15580
583	3761	15561
584	3766	15550
585	3772	15541
586	3778	15533
587	3785	15528
588	3792	15523
589	3799	15517
590	3805	15512
591	3812	15506
592	3818	15501
593	3826	15499
594	3830	15481
595	3836	15476
596	3842	15467
597	3849	15463
598	3856	15458
599	3863	15453
600	3869	15445
601	3875	15437
602	3882	15431
603	3887	15422
604	3895	15420
605	3902	15414
606	3908	15409
607	3915	15404
608	3921	15395
609	3928	15390
610	3934	15384
611	3940	15376
612	3947	15371
613	3954	15366
614	3961	15362
615	3967	15354
616	3973	15345
617	3978	15336
618	3985	15330
619	3992	15325
620	3998	15317
621	4003	15307
622	4010	15302
623	4017	15296
624	4023	15290
625	4029	15281
626	4035	15274
627	4043	15272
628	4049	15265
629	4055	15258
630	4061	15249
631	4067	15240
632	4074	15234
633	4081	15230
634	4088	15227
635	4094	15219
636	4101	15214
637	4109	15214
638	4116	15211
639	4123	15205
640	4130	15200
641	4137	15196
642	4144	15191
643	4149	15182
644	4156	15175
645	4162	15168
646	4171	15169
647	4177	15160
648	4183	15154
649	4191	15153
650	4198	15147
651	4204	15143
652	4213	15143
653	4219	15137
654	4225	15129
655	4232	15122
656	4238	15116
657	4246	15113
658	4251	15103
659	4258	15098
660	4265	15094
661	4272	15090
662	4279	15084
663	4287	15082
664	4293	15075
665	4299	15066
666	4308	15069
667	4314	15061
668	4321	15055
669	4327	15048
670	4333	15039
671	4338	15030
672	4344	15023
673	4350	15015
674	4357	15009
675	4364	15005
676	4372	15002
677	4375	14986
678	4382	14981
679	4388	14971
680	4395	14967
681	4402	14963
682	4409	14960
683	4417	14957
684	4423	14950
685	4430	14945
686	4436	14938
687	4444	14935
688	4450	14929
689	4456	14920
690	4462	14912
691	4469	14907
692	4476	14901
693	4480	14888
694	4487	14882
695	4493	14875
696	4499	14867
697	4506	14861
698	4512	14854
699	4517	14843
700	4523	14835
701	4531	14833
702	4538	14829
703	4545	14825
704	4553	14821
705	4559	14813
706	4565	14808
707	4573	14805
708	4580	14800
709	4587	14795
710	4593	14788
711	4600	14784
712	4607	14779
713	4614	14773
714	4620	14766
715	4626	14758
716	4632	14751
717	4639	14746
718	4646	14740
719	4652	14734
720	4659	14728
721	4665	14719
722	4671	14711
723	4678	14708
724	4685	14702
725	4692	14696
726	4697	14687
727	4704	14681
728	4710	14675
729	4718	14671
730	4723	14660
731	4729	14655
732	4736	14648
733	4742	14642
734	4748	14633
735	4754	14624
736	4759	14614
737	4767	14613
738	4774	14607
739	4781	14601
740	4788	14598
741	4795	14593
742	4803	14590
743	4808	14580
744	4815	14577
745	4822	14571
746	4828	14563
747	4835	14557
748	4842	14552
749	4848	14544
750	4854	14538
751	4859	14528
752	4866	14523
753	4875	14522
754	4881	14516
755	4888	14509
756	4895	14504
757	4902	14499
758	4908	14493
759	4914	14485
760	4920	14477
761	4927	14472
762	4935	14470
763	4942	14465
764	4948	14458
765	4955	14452
766	4962	14446
767	4968	14439
768	4975	14435
769	4981	14426
770	4987	14419
771	4993	14411
772	5000	14405
773	5007	14400
774	5013	14393
775	5019	14386
776	5026	14379
777	5032	14372
778	5037	14363
779	5044	14358
780	5050	14350
781	5057	14344
782	5062	14335
783	5070	14330
784	5078	14328
785	5085	14324
786	5092	14318
787	5098	14311
788	5104	14304
789	5112	14301
790	5118	14294
791	5125	14289
792	5133	14285
793	5139	14279
794	5145	14272
795	5152	14266
796	5158	14259
797	5165	14253
798	5171	14246
799	5177	14238
800	5184	14232
801	5191	14226
802	5197	14220
803	5203	14212
804	5209	14205
805	5215	14196
806	5221	14188
807	5227	14181
808	5234	14176
809	5240	14168
810	5246	14160
811	5253	14154
812	5260	14150
813	5267	14145
814	5274	14141
815	5280	14134
816	5287	14127
817	5293	14119
818	5299	14113
819	5306	14108
820	5313	14101
821	5321	14099
822	5327	14092
823	5335	14088
824	5341	14082
825	5348	14077
826	5354	14068
827	5360	14060
828	5369	14061
829	5375	14054
830	5382	14048
831	5389	14043
832	5395	14036
833	5402	14031
834	5410	14027
835	5418	14026
836	5425	14021
837	5433	14018
838	5439	14011
839	5445	14002
840	5452	13996
841	5458	13989
842	5465	13984
843	5472	13978
844	5478	13972
845	5484	13964
846	5491	13958
847	5497	13950
848	5504	13945
849	5511	13941
850	5518	13934
851	5525	13929
852	5532	13924
853	5538	13918
854	5545	13912
855	5553	13908
856	5560	13905
857	5567	13898
858	5573	13891
859	5580	13885
860	5587	13882
861	5594	13874
862	5601	13870
863	5607	13863
864	5613	13854
865	5619	13847
866	5626	13842
867	5633	13836
868	5639	13829
869	5645	13822
870	5651	13814
871	5657	13807
872	5665	13802
873	5671	13794
874	5676	13786
875	5682	13778
876	5689	13773
877	5696	13767
878	5703	13762
879	5710	13757
880	5717	13751
881	5724	13745
882	5730	13739
883	5736	13730
884	5742	13724
885	5749	13718
886	5756	13713
887	5764	13710
888	5771	13703
889	5776	13695
890	5783	13689
891	5789	13682
892	5796	13677
893	5803	13670
894	5809	13663
895	5814	13654
896	5820	13647
897	5827	13641
898	5836	13639
899	5842	13633
900	5849	13627
901	5856	13622
902	5863	13616
903	5869	13609
904	5875	13600
905	5881	13593
906	5888	13587
907	5894	13581
908	5900	13573
909	5907	13567
910	5913	13561
911	5921	13556
912	5927	13549
913	5935	13546
914	5942	13541
915	5949	13535
916	5956	13530
917	5963	13524
918	5969	13517
919	5975	13509
920	5983	13506
921	5989	13499
922	5997	13497
923	6004	13490
924	6011	13486
925	6018	13480
926	6025	13474
927	6032	13469
928	6039	13463
929	6045	13456
930	6051	13448
931	6057	13441
932	6064	13434
933	6070	13428
934	6076	13420
